1-5_nouns,2-2_nouns,2-3_nouns,2-4_nouns,학교밖_nouns,5-1_nouns,5-2_nouns,6-1_nouns
[],[],[],[],[],"['무언가', '경우', '실천']",['감정'],[]
['엔트리'],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],['청소기']
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
['네'],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
['정보'],[],[],[],[],"['여러', '절차', '일', '시행']","['인공', '지능', '창의성', '인간성', '등', '공감', '능력', '다소']","['제품', '유튜브', '알고리즘', '내', '영상', '분석', '영상']"
"['소프트웨어', '아두이노', '등등']",[],[],[],[],"['인간', '인공', '지능', '차이점', '공통점', '제대로', '알', '때문']","['인간', '인공', '지능', '차이점', '공통점', '때문']","['서빙', '로봇']"
['정보'],[],[],[],[],['일'],['감정'],['로봇청소기']
['정보'],['살'],['개월'],[],[],"['사고', '그', '판단', '린다']","['인공', '지능', '감정', '인간', '감정']",['알파']
"['정보', '컴퓨터', '방과후']",[],[],[],[],[],[],['핸드폰']
[],[],[],[],[],"['생각', '질문', '대해', '스스로', '답', '답변']","['인공', '지능', '인간', '달리', '감정', '못', '창작', '수']","['연동', '스피커']"
"['기억', '안나']",[],[],[],[],[],[],[]
['엔트리'],[],[],[],[],['계산'],"['인간', '창의력', '인공', '지능', '창의력']","['핸드폰', '음성인식']"
[],[],[],[],[],[],[],[]
['정보'],[],[],[],[],[],[],[]
"['국어', '수학', '사회', '과학', '영어', '기', '진로', '도덕', '체육', '주제', '동아리', '진']",[],[],[],[],"['인간', '인공', '지능', '한계']","['인간', '생각', '인공', '지능']","['세탁기', '공기', '청', '전기']"
['소프트웨어'],[],[],[],[],[],[],"['핸드폰', '에어컨', '탁기']"
"['국어', '수학', '과학', '정보', '기', '미술', '도덕', '음악', '체육', '진로', '사회']",[],[],[],[],[],[],[]
['정보'],[],[],[],[],"['문제', '해결', '능력']","['인공', '지능', '감정', '및', '도덕', '계념', '흉내', '낼', '수', '인간', '감정', '도덕', '무엇', '행동', '수']","['인공', '지능', '로봇', '인공', '지능', '스피커', '등']"
[],[],[],[],[],[],[],[]
"['소프트웨어', '코딩']",[],[],[],[],"['정보', '대해', '계산']","['인간', '직접', '생각', '판단', '인공', '지능', '입력', '정보', '로만', '생각']","['아이폰', '시리']"
[],"['초등학교', '학년']",[],[],[],"['인간', '인공', '지능', '모두', '스스로', '생각', '수']","['인간', '인공', '지능', '생각', '수', '것', '생각', '수']",['세탁기']
"['정보', '기술']",[],[],[],[],[],[],[]
"['국어', '영어', '수학', '도덕', '기술', '가정', '정보', '사회', '과학', '진로', '직업', '체육']",[],[],[],[],[],[],['스마트폰']
['정보'],[],[],[],[],"['문제', '해결', '능력']","['인간', '감정', '잉', '지능']","['네비게이션', '아리아', '핸드폰', '등등']"
[],[],[],[],[],['학습'],"['창의', '창의']",['클로버']
['체육'],[],[],[],[],['뭔가'],['감정'],['냉장고']
"['진로', '도덕', '기술', '가정', '수학', '국어', '과학', '체육', '음악', '영어', '무용', '정보', '미술', '사회', '진', '주제', '동아리', '체']",[],[],[],[],"['판단', '수', '행동', '수']","['것', '생각', '수', '예술', '활동', '수']","['로봇', '청소기', '자율', '주행', '자동차', '가지', '시리', '빅스', '비', '인공', '지능', '서비스']"
['정보'],[],[],[],[],[],[],[]
"['정보', '미술', '과학', '수학', '영어', '국어', '사회']",[],[],[],[],[],[],['유튜브']
[],[],[],[],[],"['계산', '것']","['인공', '지능', '계산']",['가지']
[],"['초등학교', '학년']",['개월'],[],[],['지능'],"['인공', '지능', '인공', '지능']",['세탁기']
"['정보', '코딩', '실과']",[],[],[],[],[],[],['스피커']
['정보'],[],[],[],[],"['지능', '이용', '판단', '결과', '도출', '수']","['인공', '지능', '입력', '것', '판단', '인간', '경험', '상상', '동원', '수']","['빅스', '비', '구글', '어시스턴트', '등']"
"['정보', '수업']",[],[],[],[],[],[],"['빅스', '비', '인공', '지능', '스피커']"
"['코딩', '정보']",[],[],[],[],[],[],[]
"['정보', '수업', '마이크로', '비트', '수업']",[],[],[],[],[],[],"['빅스', '비', '등']"
"['정보', '수업', '마이크로', '비트', '수업']",[],[],[],[],['예'],['예'],['시리']
['정보'],[],[],[],[],[],[],"['에이', '아이', '스피커']"
['정보'],[],[],[],[],[],[],"['핸드폰', '시리', '구글', '등']"
"['정보', '실과']","['초등학교', '학년', '살']",['개월'],[],[],['생각'],['감정'],"['가지', '빅스', '비']"
['정보'],[],[],[],[],[],[],"['빅스', '비', '시리', '구글', '가지', '네이버', '바']"
"['국어', '수학', '사회', '과학', '영어', '체육', '음악', '등']",[],[],[],[],[],[],[]
['정보'],[],[],[],[],['아뇨'],['아뇨'],"['빅스', '비', '가지']"
[],[],[],[],[],[],"['예', '인공', '지능']",['네이버']
[],"['초등학교', '학년']",['개월'],[],[],[],[],['시리']
['정보'],[],[],[],[],"['지식', '가지']","['사람', '감각', '소프트웨어', '감각']","['로봇', '스피커']"
[],[],[],[],[],"['누군가', '미션', '수행']","['인간', '미션', '수행', '선택', '수행']","['휴대폰', '인공', '지능']"
"['코딩', '정보']",[],[],[],[],['수'],"['인간', '살', '뼈', '피로', '인공', '지능', '로봇']",[]
"['정보', '수업', '마이크로', '비트', '수업']",[],[],[],[],[],[],[]
['정보'],[],[],[],[],['실력'],['감정'],"['빅스', '비']"
"['정보', '실과']","['초등', '학년']",[],[],[],"['명령', '수행']","['감정', '유무', '명령', '수행', '시간', '차']","['스마트', '워치']"
"['정보', '수업']",[],[],[],[],[],[],[]
"['정보', '중', '마이크로', '비트', '초등학교', '학년', '중학교', '학년']",[],[],[],[],[],[],['로봇청소기']
['기억'],[],[],[],[],['말'],['감정'],[]
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],"['식당', '사람', '대신', '음식', '전달', '로봇']"
[],[],[],[],[],"['일', '처리']","['일', '처리', '방식']",['드폰']
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],['리모컨']
"['국어', '수학', '사회', '과학', '영어', '도덕', '체육', '진로']","['초등학교', '학년']",[],[],[],[],[],['컴퓨터']
['정보'],[],[],[],[],['지능'],['감정'],['게임']
"['국어', '수학', '사회', '과학', '영어', '도덕', '가정', '미술', '음악', '등등']",[],[],[],[],['지식'],"['활용', '것']",['폰']
['모름'],"['초등학교', '학년']",[],[],[],"['사람과', '지능', '생각', '표현']","['사람', '감정', '로봇', '사람']",['지니']
"['공룡', '취미']",[],[],[],[],[],"['생각', '연결', '예', '사과', '빨간색', '인공', '지능', '입력', '것', '생각', '연결']",['로봇청소기']
['정보'],"['중학교', '학년']",['개월'],[],[],['예'],['예'],['지니']
[],[],[],[],[],[],[],[]
"['국어', '수학', '사회', '과학', '체육', '음악', '미술', '역사', '도덕', '영어', '중국어', '정보', '등등']",['기억'],['잠깐'],['최근'],['기억'],['수'],"['생각', '감정', '존재', '유무']",[]
"['삼성', '주니어']","['초등학교', '학년']",[],[],['레고'],"['둘', '명령', '행동', '수']","['살점', '혈액', '거']","['스피커', '냉장고', '스마트폰', '시리', '네이버', '클로버']"
"['수학', '과학', '영어', '국어']",[],[],[],[],['지식'],"['인공', '지능', '지식']",['전기밥솥']
[],"['초등학교', '학년']",[],[],[],"['인간', '생명']",[],['로봇청소기']
"['방과후', '학교', '엔트리', '스크래치', '급', '자격증', '반']","['초등학교', '학년']",['개월'],[],[],"['생각', '학습']","['형태', '유무', '등']","['로봇청소기', '자율', '주행', '자동차', '등']"
['정보'],[],[],[],[],['모름'],[],[]
['정보'],[],[],[],[],[],[],"['인공', '지능', '냉장고']"
['코딩'],[],[],[],[],"['인간', '로봇', '생각', '판단', '자신', '편의', '위해', '일']","['인간', '능동', '일', '로봇', '수동']","['로봇청소기', '서빙', '로봇']"
"['기억', '안남']",[],[],[],[],[],[],"['인공', '지능', '세탁기', '건조기']"
"['포토샵', '한글', '한쇼']",[],[],[],[],[],[],[]
"['정보', '소프트웨어', '기부']",[],[],[],[],"['학습', '진화']","['인간', '스스로', '생각', '행동', '인공', '지능', '인간', '학습']","['리모컨', '마이크', '기능', '인공', '지능', '나', '프로그램', '추천']"
"['한글', '한쇼', '포토샵']",[],[],[],[],[],[],[]
['정보'],[],[],[],[],[],[],[]
['정보'],"['초등학교', '학년']",['약'],[],[],[],[],[]
['정보'],['초'],[],[],[],[],[],"['청소', '로봇']"
"['엔트리', '스크래치']",[],[],[],[],['뇌'],['차이'],['로봇청소기']
[],"['초등학교', '학년', '살때']",['개월'],[],[],[],[],"['서빙', '로봇']"
['정보'],[],[],[],[],"['생각', '줄']","['컴퓨터', '더']",['핸드폰']
['정보'],[],[],[],[],"['생각', '줄', '알', '감정', '수']","['컴퓨터', '계산', '능력', '인간']","['스마트폰', '노트북', '등']"
['정보'],[],[],[],[],"['생각', '수']","['사람', '감정', '인공', '진응']","['시리', '빅스', '비', '오케이', '구글', '지니', '클로버']"
[],[],[],[],[],"['판단력', '진']","['로봇', '감정', '인간', '인간', '생각']",[]
"['인공', '지능', '햄스터', '봇', '소프트웨어']",[],[],[],[],"['지식', '습득', '수']","['사람', '생명', '인공', '지능', '생명']","['에어컨', '냉장고']"
[],[],[],[],[],[],[],[]
"['퓨터', '수업']",[],[],[],[],[],['예'],['세탁기']
[],[],[],[],[],[],[],"['빅스', '비']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],"['빅스', '비']"
[],[],[],[],[],[],[],[]
"['소프트웨어', '프로젝트']",[],[],[],[],[],[],['전자기기']
"['국어', '수학', '사회', '영어', '과학', '미술', '체육', '도덕', '음악', '기타', '코딩', '민주', '시민', '교육']",['학년'],['개월'],['주일'],[],[],[],"['삼성', '그', '데', '세탁기']"
"['국어', '수학', '영어', '과학', '어기', '체육', '미술']",[],[],[],[],['생각'],"['입력', '대로']",['전자레인지']
['코딩'],"['초등학교', '학년']",[],[],[],[],[],"['인공', '지능', '강아지']"
"['엔트리', '파이썬']",[],[],[],[],[],[],['휴대전화']
"['스크래치', '코딩', '창의', '개발', '능력', '엔트리']","['초등학교', '학년']",[],[],[],"['스스로', '생각', '수']","['상상', '수', '능력']","['인공', '지능', '스피커']"
"['정보', '마이크로', '비트']",[],[],[],[],[],[],['스마트폰']
"['실과', '정보']","['초등학교', '학년']",[],[],[],[],[],[]
['정보'],[],[],[],[],"['사람', '뇌', '명령', '인공', '지능', '코딩', '통해', '명령']","['사람', '감정', '인공', '지능', '감정']","['구글', '어시스턴트', '시리', '빅스', '비', '가지']"
"['기억', '남']",[],[],[],[],[],[],[]
"['정보', '수업', '마이크로', '비트', '수업']",[],[],[],[],[],[],"['구글', '어시스턴트', '빅스', '비', '시리', '지니']"
"['정보', '수업']",[],[],[],[],[],[],"['인공', '지능', '스피커', '바']"
[],[],[],[],[],[],[],"['기', '지니']"
"['정보', '수업', '시간']",[],[],[],[],[],[],['파파']
[],[],[],[],[],"['인공', '스피커']",[],"['인공', '스피커']"
"['정보', '수업', '마이크로', '비트', '수업']",[],[],[],[],[],[],"['인공', '지능', '스피커']"
"['정보', '마이크로', '비트']",[],[],[],[],[],[],[]
"['정보', '수업']",[],[],[],[],[],[],"['로봇청소기', '가지']"
"['정보', '수업']",[],[],[],[],[],[],"['자율', '주행', '자동차', '인공', '지능', '스피커']"
['정보'],[],[],[],[],[],[],"['인공', '지능', '스피커']"
['엔트리'],[],[],[],[],[],[],[]
['실과'],[],[],[],[],[],[],"['마이크로', '비트']"
"['영어', '수학', '과학', '국어', '체육', '사회', '동아리', '등등']",[],[],[],[],[],[],['로봇청소기']
['엔트리'],[],[],[],[],"['생각', '수', '감정']","['인간', '자율학습', '인공', '지능', '생각', '주입']",[]
"['정보', '수업']","['초등학교', '학년']",['하루'],['번'],[],[],[],"['인공', '지능', '스피커']"
[],[],[],[],[],[],[],"['냉장고', '청소기', '세탁기']"
[],[],[],[],[],['지능'],"['인공', '지능', '말', '그대로', '인간']","['빅스', '비', '시리']"
[],[],[],[],[],[],[],[]
['스크래치'],[],[],[],[],"['단순', '작업', '학습']","['창의력', '감정']","['청소기', '냉장고', '스마트폰', '등등']"
"['국어', '영어', '수학', '사회', '과학', '음악', '체육', '진로']",[],[],[],[],"['일반', '로봇', '달리', '사람과', '말투', '융통성', '등', '좀', '것']","['은', '프로그램', '안', '질문', '대한', '대답', '수', '말', '것']","['어시스턴트', '빅스', '비', '시리', '네이버', '바']"
['정보'],['초'],[],['약'],[],"['사람', '말', '분석', '답변', '수']","['뇌', '대신', '컴퓨터', '생각']","['스피커', '세탁기', '냉장고', '등']"
"['기억', '안남']",[],[],[],[],[],[],"['시리', '로봇청소기', '냉장고']"
"['기억', '안남']",['중'],['하루'],[],[],['지능'],['감각'],"['테슬라', '모델', '모델', '모델', '모델', '시리', '애플', '빅스', '비', '삼성', '클로버', '네이버', '구글', '어시스턴트', '스마트폰']"
[],[],[],[],[],[],[],[]
"['정보', '수업', '마이크로', '비트']",[],[],[],[],"['둘', '지능', '가지', '인공', '지능', '지능', '자신', '지능', '및', '수행', '역할', '따라서', '행동']","['인간', '생명', '인공', '지능', '생명']","['핸드폰', '로봇', '청소기', '컴퓨터', '등']"
[],[],[],[],[],[],[],"['빅스', '비']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
[],[],[],[],[],"['상황', '다른', '행동']",['감정'],['핸드폰']
"['국어', '수학', '사회', '과학', '영어', '체육', '기술', '도덕', '가정']",[],[],[],[],[],[],"['시리', '빅스', '비']"
[],['살'],[],[],[],[],[],[]
"['엔트리', '이용', '프로그램', '만들기']",[],[],[],[],[],"['사람', '마음대로', '인공', '지능', '입력', '대로']",[]
"['국어', '수학', '과학', '영어', '사회', '체육', '가정', '진로', '도덕', '미술', '음악']",[],[],[],[],"['생각', '결과', '도출', '함']","['감정', '지식', '차이']","['시리', '가지']"
"['과목', '그냥']",[],[],[],[],[],[],"['자율', '주행', '자동차']"
"['국어', '수학', '사회', '영어', '과학', '미술', '기타', '체육', '축구', '진로', '음악']","['초등학교', '학년']",['개월'],[],[],[],[],['공기청정기']
['컴퓨터'],[],[],[],[],['데이터'],['감정'],"['전자레인지', '로봇청소기', '휴대폰', '등등']"
['엔트리'],"['초등학교', '학년']",[],[],[],"['인간', '인공', '지능', '공통점', '업무', '수행', '가능']","['인간', '인공', '지능', '차이점', '인공', '지능', '입력', '프로그램', '행동', '인간', '무언가', '창조', '수']","['핸드폰', '자동차', '인공', '지능', '세탁기', '컴퓨터']"
"['코딩', '급', '급', '엔트리', '스크레치', '한글', '파워포인트', '멀티미디어', '포토샵', '엑셀', '등']",[],[],[],[],['건'],"['인간', '창의', '생각', '자신', '선택', '대해', '책임', '지지', '인공', '지능', '준', '것', '수']",['클로버']
"['스크레치', '파워포인트', '엔트리', '한글', '엑셀', '포토샵', '등']",[],[],[],[],['말'],"['인간', '창의', '상상', '수']","['지니', '오케이', '구글']"
[],[],[],[],[],[],[],"['컴퓨터', '스마트', '워치']"
['엔트리'],[],[],[],[],['대답'],['감정'],"['바', '빅스', '비']"
['컴퓨터'],[],[],[],[],['사고'],"['인간', '동물', '원숭이', '진화', '인공', '지능', '그', '인간', '물체', '이기', '때문', '인공', '지능', '인공', '지능', '이전', '생명체', '진화', '인간']",['공기청정기']
['모름'],[],[],[],[],['계산'],['것'],"['인공', '지능', '스피커']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
"['미술', '과학', '사회', '체육', '영어', '배웟다', '학교']",[],[],[],[],[],[],[]
['컴퓨터'],[],[],[],[],[],[],"['자동차', '컴퓨터']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],"['휴대폰', '컴퓨터', '노트북']"
[],[],[],[],[],[],[],[]
[],[],[],[],[],"['무언가', '계속']","['사람', '감정', '고통']",['지니']
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],"['빅스', '비']"
['정보'],[],[],[],[],[],[],[]
"['정보', '수업']",[],[],[],[],['학습'],"['감정', '차이']",['파파']
